term,romanization,ipa,zh,category,source
侬好,nong ho,/nʊŋ ho/,你好；问候,greeting,local-shanghainese-basic
谢谢侬,zia zia nong,/z̻ja z̻ja nʊŋ/,谢谢你,greeting,local-shanghainese-basic
覅客气,viau kheq qi,/vjø kʰəʔ tɕʰi/,不要客气,greeting,local-shanghainese-basic
对勿起,teh veq chi,/teʔ vəʔ tɕʰi/,对不起,greeting,local-shanghainese-basic
再会,tse we,/tsɛ ɦue/,再见,greeting,local-shanghainese-basic
阿拉,aq laq,/aʔ laʔ/,我们；我,pronoun,local-shanghainese-basic
侬,nong,/nʊŋ/,你,pronoun,local-shanghainese-basic
伊,yi,/i/,他；她,pronoun,local-shanghainese-basic
今朝,cin tsau,/tɕin tsɔ/,今天,time,local-shanghainese-basic
明朝,min tsau,/min tsɔ/,明天,time,local-shanghainese-basic
昨日,zaq nyiq,/zaʔ ȵiʔ/,昨天,time,local-shanghainese-basic
啥物事,saq meq zy,/saʔ məʔ z̻ɿ/,什么东西,daily,local-shanghainese-basic
啥地方,saq di fang,/saʔ di fɑ̃/,什么地方；哪里,daily,local-shanghainese-basic
哪能,na neng,/na nən/,怎么样；怎么,daily,local-shanghainese-basic
勿晓得,veq shiau teq,/vəʔ ɕiɔ təʔ/,不知道,daily,local-shanghainese-basic
晓得,shiau teq,/ɕiɔ təʔ/,知道,daily,local-shanghainese-basic
讲闲话,kaon ghae gho,/kɑ̃ ɦɛ ɦo/,说话,daily,local-shanghainese-basic
慢慢叫,man man ciau,/mɛ mɛ tɕiɔ/,慢慢来,daily,local-shanghainese-basic
等一歇,teng iq xiq,/tən iʔ ɕiʔ/,等一下,daily,local-shanghainese-basic
吃饭,chiq vae,/tɕʰiʔ vɛ/,吃饭,food,local-shanghainese-basic
吃茶,chiq zo,/tɕʰiʔ zo/,喝茶,food,local-shanghainese-basic
好吃,ho chiq,/ho tɕʰiʔ/,好吃,food,local-shanghainese-basic
水,sy,/sɿ/,水,food,local-shanghainese-basic
饭,vae,/vɛ/,饭,food,local-shanghainese-basic
面,mi,/mi/,面,food,local-shanghainese-basic
小菜,siau tse,/ɕiɔ tsɛ/,菜；小菜,food,local-shanghainese-basic
买物事,ma meq zy,/ma məʔ z̻ɿ/,买东西,shopping,local-shanghainese-basic
几钿,ci di,/tɕi di/,多少钱,shopping,local-shanghainese-basic
忒贵,theq ciu,/tʰəʔ tɕy/,太贵,shopping,local-shanghainese-basic
便宜点,bi yi ti,/bi ji ti/,便宜一点,shopping,local-shanghainese-basic
格个,geq gheq,/kəʔ ɦəʔ/,这个,shopping,local-shanghainese-basic
伊个,yi gheq,/i ɦəʔ/,那个,shopping,local-shanghainese-basic
老好,lo ho,/lɔ ho/,很好,emotion,local-shanghainese-basic
开心,khe sin,/kʰe ɕin/,开心,emotion,local-shanghainese-basic
欢喜,hoe shi,/hø ɕi/,喜欢,emotion,local-shanghainese-basic
老师,lau sy,/lɔ sɿ/,老师,learning,local-shanghainese-basic
学生,ghoq san,/ɦoʔ sɑ̃/,学生,learning,local-shanghainese-basic
学堂,ghoq daon,/ɦoʔ dɑ̃/,学校,learning,local-shanghainese-basic
