term,romanization,ipa,zh,category,source
你好,ni hao,/ni xaʊ/,你好；问候,greeting,local-sichuanese-basic
谢谢,xie xie,/ɕie ɕie/,谢谢,greeting,local-sichuanese-basic
不好意思,bu hao yi si,/pu xaʊ i sɿ/,不好意思；抱歉,greeting,local-sichuanese-basic
对不起,dui bu qi,/tueɪ pu tɕʰi/,对不起,greeting,local-sichuanese-basic
拜拜,bai bai,/pai pai/,再见,greeting,local-sichuanese-basic
我,ngo,/ŋo/,我,pronoun,local-sichuanese-basic
你,ni,/ni/,你,pronoun,local-sichuanese-basic
他,ta,/tʰa/,他；她,pronoun,local-sichuanese-basic
我们,ngo men,/ŋo mən/,我们,pronoun,local-sichuanese-basic
今天,jin tian,/tɕin tʰian/,今天,time,local-sichuanese-basic
明天,min tian,/min tʰian/,明天,time,local-sichuanese-basic
昨天,zuo tian,/tso tʰian/,昨天,time,local-sichuanese-basic
啷个,lang ge,/laŋ kɤ/,怎么；怎么样,daily,local-sichuanese-basic
啥子,sha zi,/sa tsɿ/,什么,daily,local-sichuanese-basic
哪儿,qie er,/tɕʰie ɚ/,哪里,daily,local-sichuanese-basic
晓得,xiao de,/ɕiaʊ tɤ/,知道,daily,local-sichuanese-basic
不晓得,bu xiao de,/pu ɕiaʊ tɤ/,不知道,daily,local-sichuanese-basic
要得,yao de,/iaʊ tɤ/,可以；好的,daily,local-sichuanese-basic
莫得,mo de,/mo tɤ/,没有,daily,local-sichuanese-basic
巴适,ba shi,/pa sɿ/,舒服；很好,emotion,local-sichuanese-basic
安逸,an yi,/an i/,安逸；舒服,emotion,local-sichuanese-basic
雄起,xiong qi,/ɕioŋ tɕʰi/,加油,emotion,local-sichuanese-basic
吃饭,chi fan,/tsʰɿ fan/,吃饭,food,local-sichuanese-basic
喝茶,he cha,/xɤ tsʰa/,喝茶,food,local-sichuanese-basic
好吃,hao chi,/xaʊ tsʰɿ/,好吃,food,local-sichuanese-basic
火锅,huo guo,/xo kuo/,火锅,food,local-sichuanese-basic
抄手,chao shou,/tsʰaʊ soʊ/,馄饨；抄手,food,local-sichuanese-basic
小面,xiao mian,/ɕiaʊ mian/,小面,food,local-sichuanese-basic
买东西,mai dong xi,/mai toŋ ɕi/,买东西,shopping,local-sichuanese-basic
好多钱,hao duo qian,/xaʊ to tɕʰian/,多少钱,shopping,local-sichuanese-basic
贵咯,gui lo,/kueɪ lo/,贵了,shopping,local-sichuanese-basic
便宜点,pian yi dian,/pʰian i tian/,便宜一点,shopping,local-sichuanese-basic
这个,zhe ge,/tsɤ kɤ/,这个,shopping,local-sichuanese-basic
那个,na ge,/na kɤ/,那个,shopping,local-sichuanese-basic
老师,lao shi,/laʊ sɿ/,老师,learning,local-sichuanese-basic
学生,xue sheng,/ɕye sən/,学生,learning,local-sichuanese-basic
学校,xue xiao,/ɕye ɕiaʊ/,学校,learning,local-sichuanese-basic
慢点,man dian,/man tian/,慢一点,daily,local-sichuanese-basic
等哈儿,deng har,/tən xar/,等一下,daily,local-sichuanese-basic
